product_id,product_name,brand,category,tags,retailer,price,original_price,discount_pct,currency,in_stock,url,source,scraped_at
42,"6-in-1 Female Hormone Test – at-Home Collection kit for Women’s Hormone Imbalance| Measures Key Hormones for Hormonal Acne, Hair Loss | Clinical-Grade Accuracy | Painless Collection",Amazon,Hormone Panel,,Amazon,149.0,149.0,,USD,True,https://www.amazon.com/EqualDx-Female-Hormone-Test-Clinical-Grade/dp/B09SG26PD5/ref=sr_1_49?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-49,crawl4ai,2026-02-19T14:49:57.744544
5,Female Hormone Test – Determine 5 Hormones for Women – Verisana,Amazon,Hormone Panel,,Amazon,149.95,149.95,,USD,True,https://www.amazon.com/Female-Hormone-Test-Determine-Hormones/dp/B07T32NWDR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-5,crawl4ai,2026-02-19T14:49:57.726078
39,Home Stress Test – Saliva Test Kit for Daily Cortisol Levels – 4 Cortisol Levels Throughout The Day– CLIA Certified Lab – Verisana,Amazon,Hormone Panel,,Amazon,129.95,129.95,,USD,True,https://www.amazon.com/Home-Stress-Test-Throughout-Certified/dp/B0BBCR9Y17/ref=sr_1_45?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-45,crawl4ai,2026-02-19T14:49:57.743034
3,"6-in-1 Female Hormone Test | Progesterone | Estradiol | LH | FSH | TSH | at-Home Test | Cap & CLIA Accredited Lab |Tests are not Avail in NY, RI",Amazon,Ovulation & Fertility,,Amazon,114.99,114.99,,USD,True,https://www.amazon.com/Hormone-at-Home-Progesterone-Estradiol-Accredited/dp/B0CB542G7C/ref=sr_1_3?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-3,crawl4ai,2026-02-19T14:49:57.725155
51,6Pack FSH Test Strip for Women Menopause Test Strips at Home Ovarian Reserve & Hormone Balance Test,Amazon,Ovulation & Fertility,,Amazon,7.59,1.27,,USD,True,https://www.amazon.com/Menopause-Ovarian-Reserve-Hormone-Balance/dp/B0F1TSMWCM/ref=sr_1_59?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-59,crawl4ai,2026-02-19T14:49:57.748468
45,AMH Test for Women – Check Your Anti-Mullerian Hormone Levels – Essential for Women’s Fertility Insight – Convenient Home Testing – Analysis by CLIA-Certified Lab – Verisana,Amazon,Ovulation & Fertility,,Amazon,69.0,69.0,,USD,True,https://www.amazon.com/AMH-Test-Women-Anti-Mullerian-CLIA-Certified/dp/B0CS6HM156/ref=sr_1_52?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-52,crawl4ai,2026-02-19T14:49:57.745732
27,"Diagnox Health Menopause Test, at-Home FSH Test Strips to Identify Menopause Stages - Fast 5-Minute Results, Clinical-Grade Midstream Strips (2 Pack)",Amazon,Ovulation & Fertility,,Amazon,9.97,4.99,,USD,True,https://www.amazon.com/Diagnox-Health-Menopause-at-Home-Identify/dp/B0DQVSZM3Z/ref=sr_1_32?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-32,crawl4ai,2026-02-19T14:49:57.737926
46,Easy@Home FSH Test Kit for Women - at-Home Hormone & Cycle Tracking with Premom App | Midstream Urine Test for Female Hormone Tracking | Reliable & Quick Results | 5 Tests,Easy@Home,Ovulation & Fertility,,Amazon,14.99,3.0,,USD,True,https://www.amazon.com/Easy-Home-FSH-Test-Women/dp/B0GDXLFQP2/ref=sr_1_53?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-53,crawl4ai,2026-02-19T14:49:57.746138
41,"Female Hormone Test – LH, FSH, Prolactin & Estradiol Tests, 4 in 1 at-Home Hormone Test Kit for Women, Helps to Evaluate Essential Hormones for Hormonal Imbalances",Amazon,Ovulation & Fertility,,Amazon,139.99,139.99,,USD,True,https://www.amazon.com/Female-Hormone-Test-Prolactin-Imbalances/dp/B0F3Y175VF/ref=sr_1_48?dib=eyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0&dib_tag=se&keywords=women+at+home+health+test&qid=1771512506&sr=8-48,crawl4ai,2026-02-19T14:49:57.744142
8,Fertility Test for Women | Ovarian Reserve Test | 7-in-1 at-Home Test | Choose Health | Not Testable in NY & RI,Amazon,Ovulation & Fertility,,Amazon,114.99,114.99,,USD,True,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzA1MDQzMDM1NjIyNTcwOjE3NzE1MTI1MDY6c3BfbXRmOjMwMTEzMDA3NzI4ODIwMjo6MDo6&url=%2FFertility-Ovarian-Choose-Health-Testable%2Fdp%2FB0G7M4WF37%2Fref%3Dsr_1_29_sspa%3Fdib%3DeyJ2IjoiMSJ9.mgD25g5sntQasbbwmhZp_mKQ9EBnulrGw9cevVPu5Bc-6PxgPOaoNKrlRcaWoftBtyzN58tq5RaL2cXVDWSRTjn3N25ikqRI5VVvn468sXk1nhmDI-_iUgzhCWA3MxbAg7mo_PBfj6sUNmc7J3iZVvx-NRaFkm4ZhBkq2jGnSDiHnIl8bKdOr5lm3MyK7ajeTqzbEyUgWRAfDis9loGFWmrciHf2Zp1g2ulaNaoq-85-TizRL2OLKT-2WXFXOJ8B0ttm1Sfbl757JQRzPC_quNQ0gZzXJUWdwFlsieIYG6I.qk_gpScMcoZlH95-KBpqAeMXLmqLjekjyB3P8cBWjF0%26dib_tag%3Dse%26keywords%3Dwomen%2Bat%2Bhome%2Bhealth%2Btest%26qid%3D1771512506%26sr%3D8-29-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,crawl4ai,2026-02-19T14:49:57.736681
